dataset,run,method,accuracy,inference_time,avg_work_units,speedup,accuracy_drop,energy_reduction,worst_case_latency,lazy_rf_threshold,lazy_gbm_threshold
Higgs,3,LazyRF[t=0.990],0.722525,1.4275388717651367,56.87275,0.04484151399942413,0.00014999999999998348,0.43127249999999995,0.06401300430297852,0.99,
Higgs,3,LazyGBM[s=2.00],0.712475,0.1455228328704834,69.861825,0.3045413660961356,0.0,0.30138175,0.04431772232055664,,2.0
Higgs,3,LazyGBM[s=4.00],0.712475,0.15409278869628906,79.441225,0.28760412927502504,0.0,0.20558774999999996,0.04431772232055664,,4.0
Credit Card,3,LazyRF[t=0.900],0.999525,0.19295573234558105,10.01575,0.1349462199514404,2.5000000000052758e-05,0.8998425,0.026038646697998047,0.9,
Credit Card,3,LazyRF[t=0.970],0.99955,0.19643211364746094,10.0325,0.13255799275636732,0.0,0.899675,0.026038646697998047,0.97,
Credit Card,3,LazyRF[t=0.990],0.99955,0.19344425201416016,10.03675,0.1346054298687149,0.0,0.8996325000000001,0.026038646697998047,0.99,
Credit Card,3,LazyGBM[s=2.00],0.9993,0.08298540115356445,33.00155,0.20723655858371687,0.0,0.6699845,0.017197608947753906,,2.0
Credit Card,3,LazyGBM[s=4.00],0.9993,0.0860602855682373,33.0022,0.19983211575701665,0.0,0.669978,0.017197608947753906,,4.0
MNIST,4,LazyRF[t=0.900],0.9691,0.5358452796936035,15.591,0.07422742979081627,9.999999999998899e-05,0.84409,0.039774417877197266,0.9,
MNIST,4,LazyRF[t=0.970],0.9688,0.5727810859680176,18.988,0.06944087165514078,0.00039999999999995595,0.81012,0.039774417877197266,0.97,
MNIST,4,LazyRF[t=0.990],0.9692,0.6036639213562012,22.348,0.06588834692628212,0.0,0.77652,0.039774417877197266,0.99,
MNIST,4,LazyGBM[s=2.00],0.9418,2.247889995574951,81.0,0.07450064878906495,0.0040000000000000036,0.18999999999999995,0.16746926307678223,,2.0
